date,symbol,setup,direction,entry_price,exit_price,result,r_multiple,notes
2025-07-10,MGC1,Tier 1,long,3323.7,3324.3,win,0.8,Basic reversal wick
2025-07-11,MGC1,Tier 1,long,3342.9,3344.4,loss,-1.0,Retest of demand wick [MARKED LOSS]
2025-07-13,MGC1,Tier 1,short,3359.5,3355.6,win,1.8,Short at OB sweep
2025-07-14,MGC1,Tier 1,short,3357.6,3356.8,loss,-1.0,Exhaustion into supply [MARKED LOSS]
2025-07-14,MES,Tier 2,long,6270.25,6272.25,win,1.0,Momentum reload
2025-07-15,MGC1,Tier 1,long,3333.4,3334.9,win,1.2,Clean reversal at lower band
2025-07-15,MES,Tier 2,short,6306.0,6305.25,win,1.0,Short pullback rejection
2025-07-16,MGC1,Tier 2,long,3335.6,3344.5,win,2.3,VWAP test continuation
2025-07-16,MGC1,Tier 1,short,3346.6,3344.0,loss,-1.0,"Exhaustion wick, reversed [MARKED LOSS]"
2025-07-17,MES,Tier 2,short,6293.5,6292.25,win,0.8,Break retest M15
2025-07-18,MGC1,Tier 1,long,3343.5,3346.0,win,2.0,Reversal wick with CVD lift
2025-07-18,MYM,Tier 2,short,44544.0,44517.0,win,1.7,Momentum entry under VWAP
